on	bl_description=("Let macOS run the bundled Organic engine. Clears the  \\n quarantine flag on the add-on's own bin folder"	bl_description=("让苹果系统运行捆绑的有机引擎。清除\\n 加载项自己的bin文件夹上的隔离标志"	CEW
on	bl_description=("Rebuild the active mesh as quads using our own  \\n cross-field solver"	bl_description=("使用我们自己的四边形重构活动网格\\n 交叉场解算器"	CEW
on	bl_description=("Undo every remesh and every cleaning in this file,on  \\n all objects,and delete the result objects"	bl_description=("撤消此文件中的每个重构和每个清理，在\\n 全部对象，并删除结果对象"	CEW
on	bl_description=("Put the selected results back the way they were. Works  \\n on anything this add-on made: a result object is \\n deleted and its source unhidden,and a mesh that was "	bl_description=("将所选结果放回原样。工程\\n 在这个附加组件所做的任何事情上：结果对象是\\n 删除并取消隐藏其源，以及 "	CEW
on	bl_description=("Store the current settings under a name. Saved presets  \\n live in Blender's config folder,so they follow you "	bl_description=("存储当前设置。保存的预设\\n 实时在Blender的配置文件夹，所以他们跟踪你 "	CEW
on	bl_description= "Remove the saved preset that is currently selected"	bl_description= "移除当前选定的已保存预设"	CEW
on	bl_description= "Build a line object from the current thresholds"	bl_description= "根据当前阈值构建线段对象"	CEW
on	bl_description=("Colour the panels the current lines carve out. Each  \\n colour is one region the rebuild will treat as a single "	bl_description=("为当前线路雕刻出来的面板上色。每个\\n 颜色是重构将作为单处理的一子区域 "	CEW
on	bl_description=("Turn the panels into geometry. Every edge of the result  \\n is a detected line - holes are cut open and bores get a "	bl_description=("将面板转换为几何。结果的每个边缘\\n 是检测到的线段-孔洞被切割打开，孔得到 "	CEW
on	bl_description= "Remove the line preview object"	bl_description= "移除线段预览对象"	CEW
on	bl_description=("Keep the lines you marked and dissolve everything  \\n between them,leaving one n-gon per panel. Mark lines "	bl_description=("保持你标记的线条，溶解一切\\n 在它们之间，每个面板留有一n-gon。标记线 "	CEW
on	bl_description=("Mark the selected edges Sharp. They turn cyan,are  \\n saved with the mesh,and are what Dissolve Between "	bl_description=("标记选定的边锐边。它们变成青色，是\\n 与网格一起保存，并且是“溶解于” "	CEW
on	bl_description=("Clean the area enclosed by the edges you have selected.  \\n Other lines,and anything outside that area,are left "	bl_description=("清理选定的边包围的区域。  \\n 其它线路，以及该区域之外的任何东西都被留下 "	CEW
on	bl_description=("Undo the cleaning entirely and forget it,so the next  \\n slider move starts again from the mesh as it is now"	bl_description=("完全撤消清理并忘记它，因此下一步\\n 滑块移动再次从现在的网格从"	CEW
on	bl_description=("Keep this area as it is now. The slider stops affecting  \\n it and stays off until you select the next area"	bl_description=("保持这个区域现在的样子。滑块停止影响\\n 它并保持关，直到您选择下一个区域"	CEW
on	bl_description=("Put this object back the way it was before any cleaning,\\n including areas already confirmed"	bl_description=("把这个对象放回清理前的样子，\\n 包括已确认的区域"	CEW
on	bl_description=("Remove the edge loops that carry no shape,over the  \\n whole model. Nothing has to be marked first,and "	bl_description=("移除没有形状的循环边，在\\n 整个模型。首先不需要标记任何内容，并且 "	CEW
on	bl_description=("Click an edge in the viewport to cut a loop through  \\n it,exactly where you clicked - and unlike Blender's \\n loop cut it keeps going through n-gons. Escape or "	bl_description=("单击视口中的边以切割循环\\n 它，就在你点击的地方-不像Blender的\\n 循环-切割-它一直通过n-gons。逃逸或 "	CEW
on	bl_description=("Restore the materials and the UV map this model had  \\n before the bake,and delete the baked images"	bl_description=("恢复该模型的材质和UV映射\\n 在烘焙之前，删除烘焙图像"	CEW
on	bl_description=("Unwrap the remeshed model afresh and bake the original  \\n model's colour (and optionally its normals) onto it.  \\n Independent of UV islands,so it works even where the "	bl_description=("解包重新包装的模型，并烘焙原点\\n 模型的颜色(以及可选的法线)。\\n 独立于UV岛，因此即使在 "	CEW
on	bl_description=("Return to the mesh as it was before the very first  \\n drop,wiping every confirmed stage on the way"	bl_description=("回到首先之前的网格\\n 落下，擦拭途中的每个确认阶段"	CEW
on	bl_description=("Keep the current result. The sliders start fresh from  \\n here,so the next drop stacks on top instead of redoing "	bl_description=("保留当前结果。滑块从从\\n 在这里，因此下一个拖放堆栈在顶部，而不是重做 "	CEW
on	bl_description= "Undo Drop Useless Loops on this object"	bl_description= "撤消删除此对象上的无用循环"	CEW
on	bl_description=("Clear out every vertex with fewer than three edges:  \\n stray points and spurs are deleted,and a vertex "	bl_description=("清理外面每个顶点少于三个边：\\n 将删除杂散点和马刺，并删除顶点 "	CEW
on	description="Path to the Instant Meshes executable. Leave empty to  \\n use the copy bundled with the add-on. Only needed on " "macOS and Linux,where no copy is bundled"	description="即时网格可执行的路径。将空物体保留为\\n 使用与加载项捆绑的副本。仅需要" "苹果系统和Linux，其中没有绑定副本"	CEW
on	description="Which solver rebuilds the surface"	description="哪个解算器重建表面"	CEW
on	description="Read the crease angle off the model's own dihedral  \\n histogram instead of using the value below"	description="读取模型自身二面体的折痕角度关\\n 直方图，而不是使用下面的值"	CEW
on	description="Instant Meshes treats the face target as a hint and  \\n routinely overshoots it several times over. This probes " "once and corrects for it"	description="即时网格将面目标视为提示，并\\n 通常会超过它几次次数。这个探测器" "一次，并为其更正"	CEW
on	description="Try several crease angles and keep whichever scores best.  \\n Costs a few extra runs"	description="尝试几个折痕角度，并保持最好的分数。  \\n 需要几次额外跑步"	CEW
on	description="Instant Meshes only. Off gives a quad-dominant mesh that  \\n hits the target face count more closely"	description="仅限即时网格。关提供四边形主导网格\\n 更近地击中目标面数量"	CEW
on	description="Approximate number of quads to produce"	description="要生成的四边形的近似数字"	CEW
on	description="Approximate quad side length,in object units"	description="近似四边侧长度，以对象单位表示"	CEW
on	description="Dihedral angle in degrees above which an edge is treated  \\n as a crease and preserved"	description="处理边的二面角角度，以度为单位\\n 作为折痕保存"	CEW
on	description="Smoothing passes for the direction field. Raise this if  \\n the flow looks noisy"	description="平滑为方向域通过。如果出现以下情况，请提出此问题\\n 水流看起来很吵"	CEW
on	description="Smoothing passes for the lattice positions"	description="晶格位置的平滑过程"	CEW
on	description="Relaxation of the output. For our engine this has no  \\n reprojection,so it only pulls vertices off the surface -  \\n leave at 0. For Instant Meshes it is the reprojection " "step count and 2 is a good value"	description="放松输出。我们的引擎没有\\n 重投影，因此它仅将顶点关表面-\\n 在0离开。对于即时网格，它是重投影" "步骤数量和2是一个好的值"	CEW
on	description="Put smaller quads where the model is thin,so a sheet  \\n of cloth or a fingernail is never spanned by a quad " "wider than it is thick. 0 turns it off"	description="将较小的四边形放在模型较薄的位置，以便板材\\n 布料或指甲永远不会被四边跨越" "比它的厚度还宽。0转向它关"	CEW
on	description="With Adaptive Density on the bundled engine,build this  \\n many times the face count you asked for and then drop  \\n the loops that carry no shape. Higher gives the drop " "more to choose from,and takes longer"	description="在捆绑引擎上安装适配密度\\n 许多次数你要的面数量然后掉下来\\n 没有形状的环。越高越容易下降" "更多可供选择，并且需要更长的时间"	CEW
on	description="Put smaller quads near creases and in curved regions.  \\n Our engine only - Instant Meshes has no equivalent"	description="在褶皱附近和弯曲区域放置较小的四边形。  \\n 我们的引擎仅仅-即时网格没有等效的"	CEW
on	description="How strongly to refine around sharp edges"	description="围绕锐边边进行细化的强度"	CEW
on	description="How strongly to refine where the surface bends"	description="细化表面弯曲处的强度"	CEW
on	description="Refine concave edges - inside corners,grooves,the  \\n places an AO bake goes dark"	description="细化凹形边-内部夹角、凹槽、\\n 放置AO烘焙变为暗"	CEW
on	description="Refine convex edges - outside corners,ridges,rims"	description="细化凸包边-外部夹角、脊、边"	CEW
on	description="Smallest quad as a fraction of the base size. Below 0.35  \\n quad quality drops sharply"	description="最小的四边是基本尺寸的一小部分。0.35以下\\n 四边质量急剧下降"	CEW
on	description="How fast quad size may change with distance. Low is  \\n smoother and measurably better - 0.1 scored 75 against " "55 for 0.4 in testing"	description="四边尺寸的快速可能会随着距离的变化而变化。Low是\\n 更流畅和可测量的更好-0.1对75分" "55 用于测试中的0.4"	CEW
on	description="Seed the direction field from principal curvature. Turn  \\n off for a purely crease-driven flow"	description="种子方向域从主曲率。转弯\\n 关，用于纯粹的折痕驱动流"	CEW
on	description="Replace the source object instead of adding a new one  \\n beside it"	description="替换源对象，而不是添加新建一\\n 在它旁边"	CEW
on	description="Built-in presets,then anything you have saved"	description="内置预设，然后保存任何内容"	CEW
on	description="Add the edges you marked Sharp to the lines the detector  \\n found. They then go through the same rebuild as every " "other line"	description="将标记为锐边的边添加到检测器的线条中\\n 找到。然后他们会像以前一样进行相同的重构" "其它线段"	CEW
on	description="How much of the geometry inside your lines to remove.  \\n 100 leaves one face per region; lower keeps some of the " "grid,the loops holding least shape going first"	description="要移除的线内部几何的多少。  \\n 100 每个子区域留一面；较低的保留了一些" "栅格，保持最小形状的回路首先"	CEW
on	description="Go over what is left again and take every other line.  \\n Plain and predictable,unlike the angle-based merge this  \\n replaced,which wandered across the grid and broke round " "forms. 0 is off,100 takes every alternate line"	description="把剩下的东西再检查一遍，隔其它线段走。  \\n 简单而可预测，不像基于角度的合并\\n 被替换了，它在栅格上徘徊并折断" "表单。0为关，每个备用线段100个"	CEW
on	description="Keep every change inside the area you marked. Off lets a  \\n loop be followed wherever it runs,which tidies the ends  \\n but can reach into another part of the model that the " "same loop was shaping and take that apart too"	description="把每一个变化都放在你标记的区域内。关让\\n 循环无论在哪里运行，都会跟随它，它整理了端点\\n 但可以进入模型的另一部分，即" "相同循环正在成形，并将其拆开"	CEW
